day,venue,race,name,pop,chaku,reason
2026-08-08,札幌,4,ブライトフレア,10,9,W0に追切なし
2026-08-08,札幌,4,ペイシャアーサー,14,12,W0に追切なし
2026-08-08,札幌,4,フレッチャアズーラ,1,5,W0に追切なし
2026-08-08,札幌,4,バルボアパーク,3,6,W0に追切なし
2026-08-08,札幌,4,スタードメイソン,13,8,W0に追切なし
2026-08-08,札幌,4,モルニケ,2,2,W0に追切なし
2026-08-08,札幌,4,グロリアスマーチ,6,11,W0に追切なし
2026-08-08,札幌,5,レイテスツドリーム,12,9,W0に追切なし
2026-08-08,札幌,5,ジーフォーリア,2,4,W0に追切なし
2026-08-08,札幌,5,イドム,8,5,W0に追切なし
2026-08-08,札幌,5,マーヴィン,5,12,W0に追切なし
2026-08-08,札幌,5,シルバーウィル,3,1,W0に追切なし
2026-08-08,札幌,5,シネファイル,4,2,W0に追切なし
2026-08-08,札幌,5,ムッチリスタイル,1,7,W0に追切なし
2026-08-08,札幌,5,ローレルメビウス,9,8,W0に追切なし
2026-08-08,札幌,5,ロマノヴェリテ,7,3,W0に追切なし
2026-08-08,札幌,5,マルカローゼ,10,10,W0に追切なし
2026-08-08,札幌,5,コジアン,6,6,W0に追切なし
2026-08-08,札幌,5,エイシンジュウライ,11,11,W0に追切なし
2026-08-08,札幌,6,インテンスゲイズ,12,4,W0に追切なし
2026-08-08,札幌,6,ポリメトリック,8,7,W0に追切なし
2026-08-08,札幌,6,オズマップ,7,14,W0に追切なし
2026-08-08,札幌,6,ウィスカーパッド,2,3,W0に追切なし
2026-08-08,札幌,6,ウインアベリア,16,15,W0に追切なし
2026-08-08,札幌,6,インフィオラータ,4,6,W0に追切なし
2026-08-08,札幌,6,ジョブックボー,5,11,W0に追切なし
2026-08-08,札幌,6,プリュイドール,6,12,W0に追切なし
2026-08-08,札幌,6,マリノリュミエール,11,9,W0に追切なし
2026-08-08,札幌,6,ダンツアラーム,13,10,W0に追切なし
2026-08-08,札幌,6,ゴコウコイコイ,1,2,W0に追切なし
2026-08-08,札幌,6,ウインカトリーヌ,3,1,W0に追切なし
2026-08-08,札幌,6,ラングロワブリッジ,15,13,W0に追切なし
2026-08-08,札幌,6,カリドーラ,10,5,W0に追切なし
2026-08-08,札幌,6,スウィーティーベル,9,8,W0に追切なし
2026-08-08,札幌,7,シェーンルスカ,12,5,W0に追切なし
2026-08-08,札幌,7,ワイドデコラシオン,2,6,W0に追切なし
2026-08-08,札幌,7,グランセレスト,8,11,W0に追切なし
2026-08-08,札幌,7,ロードヴァルカン,5,3,W0に追切なし
2026-08-08,札幌,7,ヨドノゴールド,10,2,W0に追切なし
2026-08-08,札幌,7,ランドスター,4,1,W0に追切なし
2026-08-08,札幌,7,テーオーナタリー,3,8,W0に追切なし
2026-08-08,札幌,7,カップッチョ,11,7,W0に追切なし
2026-08-08,札幌,7,ステラノヴァ,7,9,W0に追切なし
2026-08-08,札幌,7,グレイトソン,1,4,W0に追切なし
2026-08-08,札幌,7,ランプローグ,6,10,W0に追切なし
2026-08-08,札幌,8,レッドアイスピア,11,2,W0に追切なし
2026-08-08,札幌,8,セイカユウヒ,14,16,W0に追切なし
2026-08-08,札幌,8,クリオロゴールド,5,9,W0に追切なし
2026-08-08,札幌,8,ソワンドヴィクター,10,14,W0に追切なし
2026-08-08,札幌,8,クリコイーコ,15,11,W0に追切なし
2026-08-08,札幌,8,リネアベルタ,9,5,W0に追切なし
2026-08-08,札幌,8,ダノンベルビュー,4,12,W0に追切なし
2026-08-08,札幌,8,マメーアップル,2,10,W0に追切なし
2026-08-08,札幌,8,スッサンエア,3,8,W0に追切なし
2026-08-08,札幌,8,ジューンレトリバー,12,13,W0に追切なし
2026-08-08,札幌,8,ウインドオルフェ,16,15,W0に追切なし
2026-08-08,札幌,8,アンジュラフィーユ,6,3,W0に追切なし
2026-08-08,札幌,8,サトノフレイ,1,7,W0に追切なし
2026-08-08,札幌,8,モノノケ,8,6,W0に追切なし
2026-08-08,札幌,8,メイショウテンジン,7,4,W0に追切なし
2026-08-08,札幌,8,ミレニアルピンク,13,1,W0に追切なし
2026-08-08,札幌,9,リュミナーズ,10,7,W0に追切なし
2026-08-08,札幌,9,ヴェールミューズ,6,6,W0に追切なし
2026-08-08,札幌,9,ブーケドグレイス,12,8,W0に追切なし
2026-08-08,札幌,9,ビーチイン,1,10,W0に追切なし
2026-08-08,札幌,9,デルマサクラサク,4,5,W0に追切なし
2026-08-08,札幌,9,ミリオンアップ,11,11,W0に追切なし
2026-08-08,札幌,9,オテンバプリンセス,3,13,W0に追切なし
2026-08-08,札幌,9,マインセーラ,13,9,W0に追切なし
2026-08-08,札幌,9,ランスノーブル,8,2,W0に追切なし
2026-08-08,札幌,9,ジーティーアリア,5,4,W0に追切なし
2026-08-08,札幌,9,スリーケイ,7,3,W0に追切なし
