日付,開催場,R,race_id,racekey,発走,番組表示,馬番,馬名,馬トク指数,IDM,激走指数,激印,激走要因1,激走要因2,激走要因3,基準単オッズ,基準人気,馬体重,増減,波乱度,1番人気信頼度,1番人気妙味度,source_url,source_status
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,9,アーバンシック,47.1,63.8,50.68,0,,,,13.1,6,,,C,AA,S,https://umatoku.hochi.co.jp/data/race/04263408/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,10,バレエマスター,35,57.1,42.74,0,,,,24.4,9,,,C,AA,S,https://umatoku.hochi.co.jp/data/race/04263408/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,8,202604030408,04263408,15:45,8R 芝2000 新潟記念・Ｇ３ WIN5 15:45,11,ステレンボッシュ,51.1,66.3,50.08,0,,,,9.2,5,,,C,AA,S,https://umatoku.hochi.co.jp/data/race/04263408/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,1,カレンデュラ,61.4,55,47.65,0,,,,4.3,2,,,S,B,A,https://umatoku.hochi.co.jp/data/race/04263409/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,2,サトノアルペジオ,42,42,38.82,0,,,,57.7,14,,,S,B,A,https://umatoku.hochi.co.jp/data/race/04263409/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,3,ゼンダンタカ,57,53,49.71,0,,,,32.5,11,,,S,B,A,https://umatoku.hochi.co.jp/data/race/04263409/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,4,フレッシュラン,33,35,36.28,0,,,,107.5,18,,,S,B,A,https://umatoku.hochi.co.jp/data/race/04263409/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,5,ファイツオン,63.1,56.2,53.97,4,,,,17.3,8,,,S,B,A,https://umatoku.hochi.co.jp/data/race/04263409/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,6,エリカカリーナ,50.1,46,48.01,0,,,,16.5,7,,,S,B,A,https://umatoku.hochi.co.jp/data/race/04263409/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,7,リュウノタブーク,45,47,42.09,0,,,,65.3,15,,,S,B,A,https://umatoku.hochi.co.jp/data/race/04263409/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,8,ハニーローリエ,65.6,56,54.16,0,,,,2.8,1,,,S,B,A,https://umatoku.hochi.co.jp/data/race/04263409/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,9,バンディート,30,33,35.68,0,,,,66.9,16,,,S,B,A,https://umatoku.hochi.co.jp/data/race/04263409/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,10,キントラダンサー,47,48,43.35,0,,,,82,17,,,S,B,A,https://umatoku.hochi.co.jp/data/race/04263409/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,9,202604030409,04263409,16:25,9R 芝1000 閃光特別 2勝クラス 16:25,11,ビップムーラン,58.2,50.1,52.45,0,,,,9.3,4,,,S,B,A,https://umatoku.hochi.co.jp/data/race/04263409/previous,PASS_EMBEDDED_JSON
